keys,en,zh_CN
Short-range siege single-target. Heavy stone.,Short-range siege single-target. Heavy stone.,近程攻城单体。重石。
"One enormous open-palm Slap, delivered with the full indignation of a creature that was having a perfectly nice day.","One enormous open-palm Slap, delivered with the full indignation of a creature that was having a perfectly nice day.",一记巨大的张掌掴击，饱含一只本来今天过得相当不错的生物的全部愤慨。
"Epic single-target piercing. Enormous hit, no status.","Epic single-target piercing. Enormous hit, no status.",史诗级单体穿刺。巨额伤害，无状态。
The Greycoats took to calling this one mercy and kept walking; whatever it touches stops being a leg.,The Greycoats took to calling this one mercy and kept walking; whatever it touches stops being a leg.,灰袍兵把这一击叫作仁慈，然后头也不回地走开；它碰过的东西就不再算是条腿了。
Heavy single-target piercing. Lasting wound on the base item.,Heavy single-target piercing. Lasting wound on the base item.,重型单体穿刺。基础物品造成持续性创伤。
A Warden exotic that takes from the wrong end of the wound and gives it back to the gunner.,A Warden exotic that takes from the wrong end of the wound and gives it back to the gunner.,一件卫士奇械，从伤口错误的那一端抽取，再回赠给射手。
Long-range normal single-target. Feeds you on the base item.,Long-range normal single-target. Feeds you on the base item.,远程普通单体。基础物品为你回血。
"Conclave-honed thought given an edge, cutting outbound and again on the return.","Conclave-honed thought given an edge, cutting outbound and again on the return.",议政会磨利的念头被赋予锋刃，去时一斩，归途再斩。
Magic chain. Carves through four.,Magic chain. Carves through four.,魔法连锁。贯穿四人。
"No Hexwright trick on this one, just Foundry steel that refuses to lie where it lands.","No Hexwright trick on this one, just Foundry steel that refuses to lie where it lands.",这件没有符文匠的把戏，只是落地后拒绝安分的铸造厂钢铁。
Normal chain. Bounces to three.,Normal chain. Bounces to three.,普通连锁。弹射至三人。
"Spikewheel off the Ashmark works, set rolling once and never minded the men behind it.","Spikewheel off the Ashmark works, set rolling once and never minded the men behind it.",从艾什马克工坊出来的尖刺轮，推它滚一回，它便从不在意身后的人。
Long-range siege chain. Bounces through six.,Long-range siege chain. Bounces through six.,远程攻城连锁。穿过六人弹射。
"Whatever the Greycoats could not bury, they loaded; the ledger lists it as ammunition.","Whatever the Greycoats could not bury, they loaded; the ledger lists it as ammunition.",灰袍兵埋不掉的东西，就拿来装填；账册上把它登记作弹药。
"Normal splash. Heavy impact, brief stun.","Normal splash. Heavy impact, brief stun.",普通溅射。重击，短暂眩晕。
Conclave hardware that discharges clean and leaves the smell on the air longer than the target.,Conclave hardware that discharges clean and leaves the smell on the air longer than the target.,议政会的硬货，放电干净，留在空气里的气味比目标待得还久。
Single-target magic. Stuns on hit.,Single-target magic. Stuns on hit.,单体魔法。命中眩晕。
"Barbs the Greycoats scavenged off something the Conclave should have burned, each one a small lasting debt.","Barbs the Greycoats scavenged off something the Conclave should have burned, each one a small lasting debt.",灰袍兵从某件议政会本该烧掉的东西上扒下的倒刺，每一根都是一笔持续的小债。
Single-target piercing. Light poison rot.,Single-target piercing. Light poison rot.,单体穿刺。轻度中毒腐蚀。
"A Hexwright thing that lands still living, briefly, and leaves the target the same way.","A Hexwright thing that lands still living, briefly, and leaves the target the same way.",一件符文匠造物，落地时仍短暂地活着，也让目标以同样的方式苟延。
Single-target magic. Trickling poison.,Single-target magic. Trickling poison.,单体魔法。渗滴式中毒。
"Foundry shell packed over a Greycoat sickness, so the crater goes on killing after the blast is done.","Foundry shell packed over a Greycoat sickness, so the crater goes on killing after the blast is done.",铸造厂的炮弹里裹着灰袍兵的瘟病，于是爆炸过后，弹坑仍在继续杀人。
Siege splash. Poisons the whole crater.,Siege splash. Poisons the whole crater.,攻城溅射。使整个弹坑中毒。
"One bite, by a thing the Conclave bred and refuses to account for; the rest is only the waiting.","One bite, by a thing the Conclave bred and refuses to account for; the rest is only the waiting.",议政会培育却拒绝交代的东西，只咬一口；剩下的不过是等待。
Single-target normal. Strong poison rot.,Single-target normal. Strong poison rot.,单体普通。强力中毒腐蚀。
"They told it the safe load at the Ninth Foundry, and the catapult overruled them in stone.","They told it the safe load at the Ninth Foundry, and the catapult overruled them in stone.",第九铸造厂给它定了安全装填量，投石机用石头驳回了他们。
"Heavy siege splash. Bigger rock, bigger hole.","Heavy siege splash. Bigger rock, bigger hole.",重型攻城溅射。石头更大，坑更大。
A Conclave reach out of nowhere that closes on whatever the gunner could least spare.,A Conclave reach out of nowhere that closes on whatever the gunner could least spare.,议政会凭空伸出的一只手，攥住射手最输不起的那一处。
Single-target chaos. Stuns on hit.,Single-target chaos. Stuns on hit.,单体混沌。命中眩晕。
"Greycoat netting, weighted and thrown, because a thing on the floor counting threads is a thing not at the wire.","Greycoat netting, weighted and thrown, because a thing on the floor counting threads is a thing not at the wire.",灰袍兵的网，坠重抛出，因为一个趴在地上数网线的东西，就不会出现在铁丝网前。
Fast long-range normal single-target. Tangling stun.,Fast long-range normal single-target. Tangling stun.,快速远程普通单体。缠绕眩晕。
The Hexwrights seeded this ground and walked away; what grew has its own opinion about trespass.,The Hexwrights seeded this ground and walked away; what grew has its own opinion about trespass.,符文匠在这片地上播了种便扬长而去；长出来的东西对擅闯自有看法。
Wide piercing area pulse. Hits everything near.,Wide piercing area pulse. Hits everything near.,大范围穿刺范围脉冲。命中附近一切。
"A Conclave spirit that died once already and took the lesson badly, loosed to chain through a column.","A Conclave spirit that died once already and took the lesson badly, loosed to chain through a column.",一缕已经死过一次、却没把教训学好的议政会亡魂，被放出来在纵队中连锁穿行。
Epic magic chain. Wails through eight.,Epic magic chain. Wails through eight.,史诗级魔法连锁。哀嚎着穿过八人。
"A Hexwright reactor's exhale, a clean white nothing the Wardens learned to point downrange.","A Hexwright reactor's exhale, a clean white nothing the Wardens learned to point downrange.",符文匠反应堆的一口吐息，一片洁白的虚无，卫士学会了把它指向远处。
"Point-blank magic wave. Sweeps wide, stuns.","Point-blank magic wave. Sweeps wide, stuns.",贴脸魔法波。大范围横扫，眩晕。
"A full rack of Ninth Foundry warheads, every casing serial-stamped and none of them aimed at anyone in particular.","A full rack of Ninth Foundry warheads, every casing serial-stamped and none of them aimed at anyone in particular.",一整架第九铸造厂的弹头，每个弹壳都打了序列号，却没有一个特意瞄准谁。
"Long chaos barrage. Twelve warheads to scattered targets, no status.","Long chaos barrage. Twelve warheads to scattered targets, no status.",远程混沌齐射。十二枚弹头射向分散目标，无状态。
The Hexwrights bottled the night Ashmark froze and packed it behind a fuse.,The Hexwrights bottled the night Ashmark froze and packed it behind a fuse.,符文匠把艾什马克冻结的那一夜装进瓶里，封在了引信之后。
Fast piercing splash. Stacks frost on the cluster.,Fast piercing splash. Stacks frost on the cluster.,快速穿刺溅射。对集群叠加冰霜。
"A Foundry reject that never machined round, so the Greycoats let it loose to crack heads instead.","A Foundry reject that never machined round, so the Greycoats let it loose to crack heads instead.",一件铸造厂的废品，怎么也车不圆，灰袍兵索性放它出去砸脑袋。
"Normal bounce. Four hops, each stuns.","Normal bounce. Four hops, each stuns.",普通弹射。弹跳四次，每次眩晕。
"The Pale Wardens cut this from the field after the Relief failed to come, and it has been hungry since.","The Pale Wardens cut this from the field after the Relief failed to come, and it has been hungry since.",援军终未抵达后，苍白卫士从战场上割下了它，自那以后它便一直饥饿。
Epic normal bounce. Chains four; feeds the tank.,Epic normal bounce. Chains four; feeds the tank.,史诗级普通弹射。连锁四人；为坦克回血。
"Foundry-town surplus by the crateload, cheap enough that the quartermaster stopped counting them.","Foundry-town surplus by the crateload, cheap enough that the quartermaster stopped counting them.",铸造城镇成箱的剩货，便宜到军需官懒得再清点。
"Fast normal splash. Rapid small bursts, no status.","Fast normal splash. Rapid small bursts, no status.",快速普通溅射。急促的小型爆发，无状态。
"Warden arrows wrapped in Foundry pitch, lit one rank at a time the way the line always burns.","Warden arrows wrapped in Foundry pitch, lit one rank at a time the way the line always burns.",裹着铸造厂沥青的卫士箭，一排排点燃，正如防线一贯的燃烧方式。
"Piercing barrage. Four shots, each stacks fire.","Piercing barrage. Four shots, each stacks fire.",穿刺齐射。四发，每发叠加火焰。
The Conclave strung this between the Ashmark dead and called the rot it leaves a side effect.,The Conclave strung this between the Ashmark dead and called the rot it leaves a side effect.,议政会把它系在艾什马克的死者之间，还把它留下的腐烂称作副作用。
Chaos bounce. Six links; leaves poison.,Chaos bounce. Six links; leaves poison.,混沌弹射。六段连锁；留下中毒。
"Hexwright work meant for close quarters, borrowing more power than the gunner can hold.","Hexwright work meant for close quarters, borrowing more power than the gunner can hold.",符文匠为近战打造的活计，借来的力量多过射手所能掌控。
Short magic bounce. Chains four.,Short magic bounce. Chains four.,近程魔法弹射。连锁四人。
Ladled straight from a Ninth Foundry crucible and slung before it cools.,Ladled straight from a Ninth Foundry crucible and slung before it cools.,直接从第九铸造厂的坩埚里舀出，趁还没冷却就甩了出去。
Fast siege single-target. Stacks fire.,Fast siege single-target. Stacks fire.,快速攻城单体。叠加火焰。
Catapult ammunition the Greycoats stripped from Ashmark's broken walls and lobbed back.,Catapult ammunition the Greycoats stripped from Ashmark's broken walls and lobbed back.,灰袍兵从艾什马克残墙上拆下、再抛回去的投石机弹药。
"Short normal splash. Crushing impact, no status.","Short normal splash. Crushing impact, no status.",近程普通溅射。粉碎性撞击，无状态。
The Wardens worked these into the dirt of the last yard the night before they were overrun.,The Wardens worked these into the dirt of the last yard the night before they were overrun.,卫士在阵地被攻破的前一夜，把这些埋进了最后一码土地里。
Epic normal wave. Heavy sweep; stuns.,Epic normal wave. Heavy sweep; stuns.,史诗级普通波。重型横扫；眩晕。
"Shroom Doom seeds a whole patch of angry caps; they pop in a chain, and what survives the blast gets up as your Spores.","Shroom Doom seeds a whole patch of angry caps; they pop in a chain, and what survives the blast gets up as your Spores.",蘑菇末日播下一整片暴怒的菌盖；它们连锁爆裂，而从爆炸中幸存的，会作为你的孢子重新站起。
Epic chaos pulse. Massive fire stacks; stuns.,Epic chaos pulse. Massive fire stacks; stuns.,史诗级混沌脉冲。海量火焰叠层；眩晕。
"The Ninth Foundry never meant for one furnace to feed a whole field, but the war stopped asking.","The Ninth Foundry never meant for one furnace to feed a whole field, but the war stopped asking.",第九铸造厂从没打算用一座熔炉喂养整片战场，但战争已经懒得征求意见。
Epic magic pulse. Buries a pack in fire stacks.,Epic magic pulse. Buries a pack in fire stacks.,史诗级魔法脉冲。用火焰叠层埋葬一群敌人。
"Standard Foundry issue for the front rank, where the line meets the dark and rarely holds.","Standard Foundry issue for the front rank, where the line meets the dark and rarely holds.",前排的铸造厂标准制式，那里防线撞上黑暗，鲜少能守住。
Fast piercing splash. Stacks fire.,Fast piercing splash. Stacks fire.,快速穿刺溅射。叠加火焰。
"The Foundry-towns tap the deep crucibles for this, and what it spits keeps burning long after Ashmark's example.","The Foundry-towns tap the deep crucibles for this, and what it spits keeps burning long after Ashmark's example.",铸造城镇为它启用了深层坩埚，它喷出的东西在艾什马克的前车之鉴之后仍燃烧不息。
Epic long siege splash. Heavy fire stacks.,Epic long siege splash. Heavy fire stacks.,史诗级远程攻城溅射。重型火焰叠层。
"A single sliver of the cold that took Ashmark, fired again and again until something stops.","A single sliver of the cold that took Ashmark, fired again and again until something stops.",吞没艾什马克的那股寒意的一缕碎片，一遍遍发射，直到有什么停下来。
Fast piercing single-target. Stacks frost.,Fast piercing single-target. Stacks frost.,快速穿刺单体。叠加冰霜。
Conclave frost that does not wait to be aimed; it spreads the way the Ashmark winter spread.,Conclave frost that does not wait to be aimed; it spreads the way the Ashmark winter spread.,议政会的寒霜，不等人瞄准；它扩散的方式，就像艾什马克的寒冬扩散一样。
Magic splash. Spreads frost on impact.,Magic splash. Spreads frost on impact.,魔法溅射。命中时扩散冰霜。
The Hexwrights bound a piece of that killing winter to a frame and could never make it stop.,The Hexwrights bound a piece of that killing winter to a frame and could never make it stop.,符文匠把那场杀人寒冬的一角缚进框架，却再也没能让它停下。
Epic magic pulse. Frosts a huge radius toward freeze.,Epic magic pulse. Frosts a huge radius toward freeze.,史诗级魔法脉冲。在巨大范围内叠加冰霜直至冻结。
"Ashmark-cold shards racked by the Greycoats, four to a volley, ledgered by the dozen.","Ashmark-cold shards racked by the Greycoats, four to a volley, ledgered by the dozen.",灰袍兵架起的艾什马克寒霜碎片，一轮四发，按打记账。
"Normal barrage. Four hits, each stacks frost.","Normal barrage. Four hits, each stacks frost.",普通齐射。四发，每发叠加冰霜。
"The first thing the quartermaster hands a green Greycoat, and the cheapest line in the ledger.","The first thing the quartermaster hands a green Greycoat, and the cheapest line in the ledger.",军需官发给菜鸟灰袍兵的第一样东西，也是账册上最便宜的一项。
"Fast piercing barrage. Three blades, no status.","Fast piercing barrage. Three blades, no status.",快速穿刺齐射。三片刃，无状态。
"Blunt Foundry overrun, loud and serial-stamped, sold by weight to the Wardens.","Blunt Foundry overrun, loud and serial-stamped, sold by weight to the Wardens.",粗钝的铸造厂过剩品，吵闹又打着序列号，按斤卖给卫士。
Fast siege single-target. No status.,Fast siege single-target. No status.,快速攻城单体。无状态。
"A Greycoat deserter's rifle, recovered from Ashmark with the scope still sighted on a fleeing back.","A Greycoat deserter's rifle, recovered from Ashmark with the scope still sighted on a fleeing back.",一名灰袍逃兵的步枪，从艾什马克回收时，瞄准镜还对准着一个逃跑的背影。
Fast long normal single-target. No status.,Fast long normal single-target. No status.,快速远程普通单体。无状态。
Ninth Foundry charges that the Greycoats lob underhand and never look back at.,Ninth Foundry charges that the Greycoats lob underhand and never look back at.,灰袍兵低手抛出、绝不回头看一眼的第九铸造厂炸药。
Short siege splash. Brief stun.,Short siege splash. Brief stun.,近程攻城溅射。短暂眩晕。
"A single precise Sting from a very small, very offended thing — and suddenly the target is taking everyone's hits much harder.","A single precise Sting from a very small, very offended thing — and suddenly the target is taking everyone's hits much harder.",一只极小、极其被冒犯的东西精准地蜇上一针——目标突然就承受起所有人的攻击，痛得多了。
Long chaos single-target. No status.,Long chaos single-target. No status.,远程混沌单体。无状态。
"Somebody's skull, packed by the Greycoats with worse and stamped for the line.","Somebody's skull, packed by the Greycoats with worse and stamped for the line.",某人的头骨，被灰袍兵塞进更糟的东西，盖章发往前线。
Chaos splash. Bursts and stuns.,Chaos splash. Bursts and stuns.,混沌溅射。爆裂并眩晕。
"Foundry casings charged with Ashmark's leftover cold, breathed out across the crater.","Foundry casings charged with Ashmark's leftover cold, breathed out across the crater.",填着艾什马克残留寒意的铸造厂弹壳，把寒气吐遍整个弹坑。
Siege splash. Frosts the blast.,Siege splash. Frosts the blast.,攻城溅射。使爆炸范围结霜。
"The Conclave sends the cold out in a line now, the way the news of Ashmark traveled the front.","The Conclave sends the cold out in a line now, the way the news of Ashmark traveled the front.",议政会如今把寒意排成一线放出，就像艾什马克的消息传遍前线的样子。
Magic wave. Sweeps and frosts.,Magic wave. Sweeps and frosts.,魔法波。横扫并结霜。
"A wall of Foundry-fire walked forward across the dirt, the way the front rank is supposed to and no longer can.","A wall of Foundry-fire walked forward across the dirt, the way the front rank is supposed to and no longer can.",一堵铸造厂之火砌成的墙在泥地上向前推进，正如前排本该做却再也做不到的那样。
Normal wave. Sweeps; heavy fire stacks.,Normal wave. Sweeps; heavy fire stacks.,普通波。横扫；重型火焰叠层。
A Hexwright spark that flickers out and carries a sliver of the gunner back with each kill.,A Hexwright spark that flickers out and carries a sliver of the gunner back with each kill.,一簇符文匠的火花，熄灭时每杀一个，就带回一缕射手的生机。
Fast chaos single-target. Heals the tank.,Fast chaos single-target. Heals the tank.,快速混沌单体。为坦克回血。
The Conclave taught it to drink an enemy's borrowed power before it spends the enemy.,The Conclave taught it to drink an enemy's borrowed power before it spends the enemy.,议政会教会它在耗尽敌人之前，先喝光敌人借来的力量。
Fast long magic single-target. No status.,Fast long magic single-target. No status.,快速远程魔法单体。无状态。
Squirm keeps a wriggling brood in reserve; every kill it lands hatches another hungry Larva to join the march.,Squirm keeps a wriggling brood in reserve; every kill it lands hatches another hungry Larva to join the march.,蠕虫备着一窝扭动的幼崽；它每杀一个，就孵出又一只饥饿的幼虫加入行进。
Epic long chaos single-target. No status.,Epic long chaos single-target. No status.,史诗级远程混沌单体。无状态。
Warden field-rig that wraps the tank in Foundry heat and makes the burn everyone else's problem.,Warden field-rig that wraps the tank in Foundry heat and makes the burn everyone else's problem.,卫士的野战装置，用铸造厂的高温裹住坦克，把灼烧变成别人的麻烦。
Rapid magic wave. Constant fire near the tank.,Rapid magic wave. Constant fire near the tank.,急速魔法波。坦克附近持续燃烧。
"Boom Bloom scatters a tidy little garden of pop-when-touched buds across the last yard, and the front rank finds every one.","Boom Bloom scatters a tidy little garden of pop-when-touched buds across the last yard, and the front rank finds every one.",轰鸣花在最后一码土地上撒下一座整齐的小花园，花蕾一碰即炸，而前排会把每一朵都踩中。
"Epic siege wave. Fast, brutal; stuns.","Epic siege wave. Fast, brutal; stuns.",史诗级攻城波。快速、残暴；眩晕。
"A Warden quill-rig recovered off Ashmark, sprung once across a whole closing cluster.","A Warden quill-rig recovered off Ashmark, sprung once across a whole closing cluster.",从艾什马克回收的卫士尖刺装置，对一整群逼近的敌人弹射一回。
"Long piercing splash. Sprays the cluster, no status.","Long piercing splash. Sprays the cluster, no status.",远程穿刺溅射。喷射整个集群，无状态。
"Pure Conclave intention let off all at once, the kind of borrowing the Hexwrights regret in the morning.","Pure Conclave intention let off all at once, the kind of borrowing the Hexwrights regret in the morning.",纯粹的议政会意志一次性倾泻而出，正是那种符文匠到了早上会后悔的借贷。
Long magic splash. Detonates on impact.,Long magic splash. Detonates on impact.,远程魔法溅射。命中即引爆。
"The sky pays the Ninth Foundry's debts all at once, then makes the line wait a long time for the next installment.","The sky pays the Ninth Foundry's debts all at once, then makes the line wait a long time for the next installment.",天空一次性偿清第九铸造厂的债，然后让前线为下一期分期苦等许久。
Epic siege barrage. Eight meteors; long reload.,Epic siege barrage. Eight meteors; long reload.,史诗级攻城齐射。八颗陨石；长冷却。
"A keg the Greycoats meant for after the Relief came, lit and thrown instead.","A keg the Greycoats meant for after the Relief came, lit and thrown instead.",灰袍兵本想留到援军抵达后再开的一桶酒，结果点着了扔了出去。
Fast siege splash. Heals the tank.,Fast siege splash. Heals the tank.,快速攻城溅射。为坦克回血。
Quick mean Conclave work that goes through armor like it was never logged.,Quick mean Conclave work that goes through armor like it was never logged.,又快又狠的议政会手艺，穿透护甲就像它从未登记在册。
Fast long chaos single-target. Ignores armor types.,Fast long chaos single-target. Ignores armor types.,快速远程混沌单体。无视护甲类型。
"Hexwright lightning bound to circle the tank, and standing near it is the gunner's own decision.","Hexwright lightning bound to circle the tank, and standing near it is the gunner's own decision.",符文匠的闪电被缚住绕坦克盘旋，站到它近旁是射手自己的决定。
Wide magic pulse. Shocks everything around.,Wide magic pulse. Shocks everything around.,大范围魔法脉冲。电击周围一切。
"The Conclave wired this to hum off the enemy's own borrowed mana, and things near it stop humming.","The Conclave wired this to hum off the enemy's own borrowed mana, and things near it stop humming.",议政会把它接线成靠敌人借来的法力嗡鸣，而它近旁的东西就不再嗡鸣了。
Long magic single-target. No status.,Long magic single-target. No status.,远程魔法单体。无状态。
"Foundry-fire let off in a bloom, the way the front rank goes when the line finally breaks.","Foundry-fire let off in a bloom, the way the front rank goes when the line finally breaks.",铸造厂之火绽放着释放，正如防线终于崩溃时前排的下场。
Chaos pulse. Erupts fire around the tank.,Chaos pulse. Erupts fire around the tank.,混沌脉冲。在坦克周围喷发火焰。
A Ninth Foundry coil that taps fast enough to leave no gap between the taps.,A Ninth Foundry coil that taps fast enough to leave no gap between the taps.,一具第九铸造厂的线圈，放电快到两次之间不留半点空隙。
Rapid long siege pulse. Near-constant stun-lock.,Rapid long siege pulse. Near-constant stun-lock.,急速远程攻城脉冲。近乎持续的眩晕锁。
Tangle throws out a snarl of sticky vine that pins a thing right where it stands and politely refuses to let go.,Tangle throws out a snarl of sticky vine that pins a thing right where it stands and politely refuses to let go.,缠藤甩出一团黏稠的藤蔓乱结，把目标牢牢钉在原地，再礼貌地拒绝松手。
Fast epic normal single-target. Roots the target in place.,Fast epic normal single-target. Roots the target in place.,快速史诗级普通单体。将目标定身于原地。
"Foundry stamps this kit ""general issue,"" the catch-all crate the Wardens hand out when nothing specialized survived the haul from Ashmark.","Foundry stamps this kit ""general issue,"" the catch-all crate the Wardens hand out when nothing specialized survived the haul from Ashmark.","铸造厂把这套装备盖章为""通用制式""——当从艾什马克运来的特种货一样都没剩下时，卫士就发这只大杂烩箱子。"
+10% to all weapon damage.,+10% to all weapon damage.,所有武器伤害 +10%。
"Hexwrights ground these heads to a finer point than the Foundry would risk, and the Wardens never asked how.","Hexwrights ground these heads to a finer point than the Foundry would risk, and the Wardens never asked how.",符文匠把这些箭头磨得比铸造厂敢冒的险还要尖，而卫士从没问过是怎么做到的。
Improved Piercing Attacks: +10% piercing damage.,Improved Piercing Attacks: +10% piercing damage.,强化穿刺攻击：穿刺伤害 +10%。
"Recovered from the Ashmark siege-works, calibrated for walls that fell the night the line broke.","Recovered from the Ashmark siege-works, calibrated for walls that fell the night the line broke.",回收自艾什马克的攻城工事，校准目标是防线崩溃那夜倒下的城墙。
Improved Siege Attacks: +10% siege damage.,Improved Siege Attacks: +10% siege damage.,强化攻城攻击：攻城伤害 +10%。
"The Conclave bottles a little more of what it borrows, and signs none of it.","The Conclave bottles a little more of what it borrows, and signs none of it.",议政会把借来的东西多装进瓶里一点，却一笔都不签字。
Improved Magic Attacks: +10% magic damage.,Improved Magic Attacks: +10% magic damage.,强化魔法攻击：魔法伤害 +10%。
Foundry overrun stamped EPIC and locked in the deep vault; the Wardens were told it would never leave Ashmark.,Foundry overrun stamped EPIC and locked in the deep vault; the Wardens were told it would never leave Ashmark.,"铸造厂的过剩品，盖着""史诗""章锁进深层地库；卫士被告知它永远不会离开艾什马克。"
"+25% damage, multiplicative on top.","+25% damage, multiplicative on top.",伤害 +25%，额外叠乘计算。
"A Hexwright governor wired into the firing chain, shaving the pause the Foundry built in for safety.","A Hexwright governor wired into the firing chain, shaving the pause the Foundry built in for safety.",一具接入击发链路的符文匠调速器，削掉了铸造厂为安全预留的那段停顿。
Rapidfire: +10% attack speed.,Rapidfire: +10% attack speed.,速射：攻击速度 +10%。
"The quartermaster's ledger pays a premium per body, settled out of whatever the Greycoats strip off the field.","The quartermaster's ledger pays a premium per body, settled out of whatever the Greycoats strip off the field.",军需官的账册按尸体加价结算，从灰袍兵在战场上扒来的东西里抵付。
Bounty Hunter: +50% gold per kill.,Bounty Hunter: +50% gold per kill.,赏金猎人：每次击杀金币 +50%。
"A Hexwright-tapped seam that pays the gunner in coin and in mending both, the ledger and the surgeon settled from one vein.","A Hexwright-tapped seam that pays the gunner in coin and in mending both, the ledger and the surgeon settled from one vein.",一道符文匠开掘的矿脉，既以金币也以治愈支付射手，账册与军医从同一条矿脉结清。
"Entangled Gold Mine: +20 income, 25% of it healed.","Entangled Gold Mine: +20 income, 25% of it healed.",纠缠金矿：收入 +20，其中 25% 转化为治疗。
"The quartermaster skims a margin off every coin the Greycoats turn in, and the ledger never forgets.","The quartermaster skims a margin off every coin the Greycoats turn in, and the ledger never forgets.",军需官从灰袍兵上缴的每一枚金币里揩一层油，账册从不遗忘。
+10% to passive income.,+10% to passive income.,被动收入 +10%。
"A heavier cut, written into the ledger by a quartermaster who stopped pretending the conscripts would be paid.","A heavier cut, written into the ledger by a quartermaster who stopped pretending the conscripts would be paid.",更狠的一笔抽成，由一位不再假装会给征召兵发饷的军需官写进账册。
+25% to passive income.,+25% to passive income.,被动收入 +25%。
"The quartermaster keeps a crooked ledger; now and then a body settles for far more than its line was worth, and pays the premium too.","The quartermaster keeps a crooked ledger; now and then a body settles for far more than its line was worth, and pays the premium too.",军需官记着一本歪账；时不时有具尸体结算得远超它那一行该值的价，溢价也一并付清。
Transmute: +100% bounty; 5% of kills pay triple.,Transmute: +100% bounty; 5% of kills pay triple.,嬗变：赏金 +100%；5% 的击杀支付三倍。
"Warden masons doubled the wall on the wall they already had, the way a siege teaches you to never stop pouring stone.","Warden masons doubled the wall on the wall they already had, the way a siege teaches you to never stop pouring stone.",卫士的石匠在已有的墙上又砌了一倍的墙，正如围城教会你的：永远别停下浇石。
"Imbued Masonry: +2000 max HP, then +25%.","Imbued Masonry: +2000 max HP, then +25%.",灌注砌石：最大生命 +2000，再 +25%。
"Foundry hull-shave, rolled too thin in the rush but thick enough to turn what the Relief left you to face.","Foundry hull-shave, rolled too thin in the rush but thick enough to turn what the Relief left you to face.",铸造厂的舱体薄板，赶工时压得太薄，却也够厚，能挡住援军留给你独自面对的东西。
+10 flat armor. Shaves every hit.,+10 flat armor. Shaves every hit.,固定护甲 +10。削减每次受击。
"A Hexwright spring fed into the hull, the borrowed skin topping itself off the way a well does.","A Hexwright spring fed into the hull, the borrowed skin topping itself off the way a well does.",一眼接入舱体的符文匠泉源，借来的外皮像井水一样自行回满。
"Moonwell: +2000 mana shield, regenerating.","Moonwell: +2000 mana shield, regenerating.",月亮井：法力护盾 +2000，持续再生。
The Relief that never came included field-surgeons; the Wardens improvised this drip in their absence.,The Relief that never came included field-surgeons; the Wardens improvised this drip in their absence.,那支始终没来的援军里本该有战地军医；卫士在他们缺席时临时凑出了这套点滴。
+50 HP regen per tick.,+50 HP regen per tick.,每跳生命再生 +50。
A Warden's last trick when the line is held and the Relief is a rumor: be where the blow is not.,A Warden's last trick when the line is held and the Relief is a rumor: be where the blow is not.,当防线还守着、援军只是个传闻时，卫士最后的招数：人不在挨打的地方。
Evasion: +10% chance to dodge a hit.,Evasion: +10% chance to dodge a hit.,闪避：+10% 几率躲开一次攻击。
"The longer the war drags on, the heavier the Foundry's old governor leans into the firing chain.","The longer the war drags on, the heavier the Foundry's old governor leans into the firing chain.",战争拖得越久，铸造厂那具老调速器就越用力压向击发链路。
"Power Generator: +2% damage now, +1% every round.","Power Generator: +2% damage now, +1% every round.",动力发生器：当前伤害 +2%，每回合 +1%。
"The Conclave warned that borrowed chaos compounds with every round it sits unrepaid, and The Hippocrate is still on the horizon.","The Conclave warned that borrowed chaos compounds with every round it sits unrepaid, and The Hippocrate is still on the horizon.","议政会警告过，借来的混沌每拖欠一回合便复利增长，而""希波克拉底""仍远在天际。"
"Scroll of Chaos: +20% chaos now, +3% every round.","Scroll of Chaos: +20% chaos now, +3% every round.",混沌卷轴：当前混沌 +20%，每回合 +3%。
"The quartermaster's ledger breeds on itself; each round the Greycoats turn in more, and the line grows fatter.","The quartermaster's ledger breeds on itself; each round the Greycoats turn in more, and the line grows fatter.",军需官的账册会自我繁殖；每一回合灰袍兵上缴得更多，进项也越发肥厚。
"+10 income now, +5 every round.","+10 income now, +5 every round.",当前收入 +10，每回合 +5。
"Scar over scar, the way a Warden's plating thickens every round the Relief fails to arrive.","Scar over scar, the way a Warden's plating thickens every round the Relief fails to arrive.",疤上添疤，正如援军每一回合不至，卫士的装甲就增厚一层。
"Blessed Armor: +10 armor now, +5 every round.","Blessed Armor: +10 armor now, +5 every round.",祝福护甲：当前护甲 +10，每回合 +5。
"Warden marksmanship doctrine, the kind drilled into gunners told to make every single shot count.","Warden marksmanship doctrine, the kind drilled into gunners told to make every single shot count.",卫士的射术信条，专为那些被要求把每一发都打中的射手反复操练。
Focusfire: +25% to single-target weapons.,Focusfire: +25% to single-target weapons.,集火：单体武器 +25%。
"Foundry overpressure tuning meant for the crater-makers, ground for walls and the crowds behind them.","Foundry overpressure tuning meant for the crater-makers, ground for walls and the crowds behind them.",铸造厂为造坑者调校的超压设定，磨砺以对付城墙及其身后的人群。
+25% to splash weapons.,+25% to splash weapons.,溅射武器 +25%。
"Greycoat volley discipline, salvaged off a unit that fired in ranks until the ranks ran out.","Greycoat volley discipline, salvaged off a unit that fired in ranks until the ranks ran out.",灰袍兵的齐射纪律，扒自一支成排开火、直到排不出人为止的部队。
+25% to barrage weapons.,+25% to barrage weapons.,齐射武器 +25%。
